column_1,column_2,column_3,column_4,column_5
305,Ilia Dolgov,Lecturer,Art Department,UC Santa Cruz
306,Andrew S. Mathews,Professor,Anthropology,UC Santa Cruz
307,Desmond Jagmohan,Assistant Professor,Political Science,UC Berkeley
308,Maurizio Mazzocco,Professor,Economics,UCLA
309,Gabriel Lenz,Professor,Political Science,UC Berkeley
310,Federico Echenique,Professor,Economics,UC Berkeley
311,Anatole Leikin,Professor Emeritus,Music,UC Santa Cruz
312,Wesley H. Holliday,Professor,Philosophy,UC Berkeley
313,Jeremy Yamashiro,Associate Professor,Psychology,UC Santa Cruz
314,E. G. Crichton,Professor Emerita of Art,Art,UC Santa Cruz
315,Giacomo Lanzani,Assistant Professor,Economics,UC Berkeley
316,Janet Afary,Distinguished Professor,Religious Studies,UC Santa Barbara
317,Yotam Shem-Tov,Assistant Professor,Economics,UCLA
318,Pei-te Lien,Professor,"Political Science, Asian American Studies, Feminist Studies, and Black Studies",UC Santa Barbara
319,Yukiko Tsuchiya,Lecturer,East Asian Languages and Cultural Studies,UC Santa Barbara
320,Richard Hecht,Professor Emeritus,Religious Studies,UC Santa Barbara
321,Adina Roskies,Professor,Philosophy,UC Santa Barbara
322,Andrew Flanagin,Professor,Communication,UC Santa Barbara
323,Robin Nabi,Professor,Communication,UC Santa Barbara
324,Jacob Gaboury,Associate Professor,Film & Media,UC Berkeley
325,JoAnn Kuchera-Morin,Distinguished Professor,Media Arts and Technology and Music,UC Santa Barbara
326,Ted Bergstrom,Professor,Economics,UC Santa Barbara
327,Maria Ezerova,Lecturer,Music,UC Santa Cruz
328,Soichiro Yamauchi,Assistant Professor,Political Science,UC San Diego
329,Kristina Chew,Lecturer,Ancient Greek and Roman Studies,UC Berkeley
330,Kal Raustiala,Professor,Law & Global Studies,UCLA
331,Martie Haselton,Professor,"Communication, Psychology",UCLA
332,Lynna Dhanani,Assistant Professor,"Religion, Culture and Society",UC Davis
333,Nathaniel Deutsch,Distinguished Professor,History,UC Santa Cruz
334,Michael Gurven,Professor,Anthropology,UC Santa Barbara
335,Danya Lagos,Assistant Professor,Sociology,UC Berkeley
336,Peter Rupert,Professor,Economics,UC Santa Barbara
337,David Zilberman,Professor of the Graduate School,Agricultural and Resource Economics,UC Berkeley
338,Ofer Eldar,Professor,Law,UC Berkeley
339,Erin K Ninh,Professor,Asian American Studies,UC Santa Barbara
340,Gary Richardson,Professor,Economics,UC Irvine
341,David T Pan,Professor,European Languages and Studies,UC Irvine
342,John Duffy,Professor,Economics,UC Irvine
343,Stanley Klein,Professor,Psychology,UC Santa Barbara
344,Charis Kubrin,Chancellor’s Professor,"Criminology, Law and Society",UC Irvine
345,Matthew P. Canepa,Professor and Elahé Omidyar Mir-Djalali Presidential Chair in Art History and Archaeology of Ancient Iran,Art History,UC Irvine
346,Monica Majoli,Professor,Art,UC Irvine
347,Mayfair M Yang,Professor,Religious Studies,UC Santa Barbara
348,Carrie Menkel-Meadow,Distinguished Professor of Law,Law school,UC Irvine
349,Daniel R. Montello,Distinguished Professor Emeritus,Geography,UC Santa Barbara
350,Sean Keilen,Professor,Literature,UC Santa Cruz
351,Roger Owen Friedland,Professor Emeritus,Religious Studies and Sociology,UC Santa Barbara
352,C. David Dooley,Professor Emeritus,Psychology,UC Irvine
353,John W.I. Lee,Professor,History,UC Santa Barbara
354,Russell J. Dalton,Distinguished Emeritus Professor,Political Science,UC Irvine
355,Tristan Bridges,Professor,Sociology,UC Santa Barbara
356,Leslie Johns,Professor,Political Science,UCLA
357,Keiko Yukawa,Lecturer,Languages and Applied Linguistics,UC Santa Cruz
358,Tara Rodman,Associate Professor,"Drama, affiliate in East Asian Studies & Asian American Studies",UC Irvine
359,Paul Whitworth,Professor Emeritus,Theatre Arts,UC Santa Cruz
360,Paul Niehaus,Professor,Economics,UC San Diego
361,Michael Szalay,Professor,English,UC Irvine
362,Robert Sah,Professor,Bioengineering,UC San Diego
363,Joe Gladstone,Assistant Professor,Rady School of Management,UC San Diego
364,Michelle R Garfinkel,Professor Emeritus,Economics,UC Irvine
365,Jeffrey A. Barrett,Distinguished Professor,Logic and Philosophy of Science,UC Irvine
366,Kai Thaler,Assistant Professor,Global Studies,UC Santa Barbara
367,Suzanne Jill Levine,Professor Emeritus,spanish & portuguese,UC Santa Barbara
368,Randolph Edwin Bank,Distinguished Professor Emeritus,Mathematics,UC San Diego
369,Jeffrey Guhin,Associate Professor,Sociology,UCLA
370,JB Manchak,Professor,Logic and Philosophy of Science,UC Irvine
371,Sarah Cline,Professor Emerita,History,UC Santa Barbara
372,Kenneth Kletzer,Professor,Economics,UC Santa Cruz
373,Jenny Kaminer,"Professor of Russian; Director, Davis Humanities Institute",German and Russian,UC Davis
374,Lucas Hilderbrand,Professor and Chair,Film and Media Studies,UC Irvine
375,Robin Maria DeLugan,Professor,Anthropology & Heritage Studies,UC Merced
376,Robert Newsom,Professor Emeritus,English,UC Irvine
377,Annika Stone,Lecturer,Anthropology,UC San Diego
378,Jean Helwege,Professor,Business,UC Riverside
379,Laura Klein,"Lecturer, PhD",Languages,UC Irvine
380,Judith Rodenbeck,Professor,Media & Cultural Studies,UC Riverside
381,Bruce Babcock,Professor,School of Public Policy,UC Riverside
382,Jennifer Gaudette,Assistant Professor,School of Public Policy,UC Riverside
383,Catherine L. Benamou,Professor,Film and Media Studies,UC Irvine
384,Tom Erbe,Teaching Professor,Music,UC San Diego
385,Hikaru Saijo,Associate Professor,Economics,UC Santa Cruz
386,Katherine Meltzoff,Associate Professor,Education (cooperative appointment in psychology),UC Riverside
387,Amin Ghaziani,Professor,Sociology,UC Santa Barbara
388,P. Kyle Stanford,Professor,Logic and Philosophy of Science,UC Irvine
389,Vinayak Chaturvedi,Professor,History,UC Irvine
390,Alexander Barinov,Associate Professor,School of Business,UC Riverside
391,Maria Charles,Distinguished Professor,Sociology,UC Santa Barbara
392,Ye Li,Associate Professor,School of Business,UC Riverside
393,Marek Kaminski,Professor,Political Science,UC Irvine
394,Xiaoling Shu,Professor,Sociology,UC Davis
395,Philip Bromiley,Professor,Merage School of Business,UC Irvine
396,Thomas Barrett,Associate Professor,Philosophy,UC Santa Barbara
397,Steven Helfand,Professor,Economics,UC Riverside
398,Rob Clark,Professor,Sociology,UC Riverside
399,Abhishek Kaicker,Associate Professor,History,UC Berkeley
400,Steve Tadelis,Professor,Haas School of Business,UC Berkeley
401,Luke Benson Yarbrough,Associate Professor,Near Eastern Languages & Cultures,UCLA
402,John Henderson,Distinguisthed Professor,Psychology,UC Davis
403,Lori Kletzer,Professor,Economics,UC Santa Cruz
404,Ron Hassner,Professor,Political Science,UC Berkeley
405,Serena Chen,Professor,Psychology,UC Berkeley
406,Gary Yeritsian,Lecturer,Sociology,UCLA
407,David S. Meyer,Professor,Sociology,UC Irvine
408,Kevin O'Brien,Professor,Political Science,UC Berkeley
409,Benjamin G. Bishin,Professor,Political Science,UC Riverside
410,Chuansheng Chen,Distinguished Professor,Psychology,UC Irvine
411,Mitchell Hoffman,Professor,Economics,UC Santa Barbara
412,Barry Lam,Professor,Philosophy,UC Riverside
413,Jennifer Parker,Professor,Art,UC Santa Cruz
414,Jone L. Pearce,Professor Emertia,Merage School of Business,UC Irvine
415,Juan Manuel Pedroza,Associate Professor,Sociology,UC Santa Cruz
416,Richard Futrell,Associate Professor,Language Science,UC Irvine
417,Indridi H. Indridason,Professor,Political Science,UC Riverside
418,Amy Kroska,Professor,Sociology,UC Riverside
419,Ronald Grieson,Professor Emeitus,Economics,UC Santa Cruz
420,Kimberly Clausing,Professor,Law,UCLA
