column_1,column_2,column_3,column_4,column_5
230,Wenjun Zhang,Professor,Chemical and Biomolecular Engineering,UC Berkeley
231,Alex Cloninger,Professor,Mathematics,UC San Diego
232,Teresa Head-Gordon,Professor,"Chemistry, Bioegineering, Chemical and Biomolecular Engineering",UC Berkeley
233,Kristin Persson,Professor,Materials Science and Engineering,UC Berkeley
234,Lance Kriegsfeld,Professor,Psychology and Neuroscience,UC Berkeley
235,Lydia L. Sohn,Professor,Mechanical Engineering,UC Berkeley
236,Emma Pierson,Assistant Professor,Computer Science,UC Berkeley
237,Kristin DeVleming,Assistant Professor,Mathematics,UC San Diego
238,Aaron Pollack,Associate Professor,Mathematics,UC San Diego
239,Ziv Ran,Professor,Mathematics,UC Riverside
240,Wee Liang Gan,Professor,Mathematics,UC Riverside
241,Candace Yano,Distinguished Professor,Industrial Eng. & Operations Research and Haas School of Business,UC Berkeley
242,Benjamin Morris,Professor,Mathematics,UC Davis
243,Kristofer S J Pister,Professor,Electrical Engineering and Computer Sciences,UC Berkeley
244,Gregory Barton,Professor and Department Co-Chair,Molecular and Cell Biology,UC Berkeley
245,Alexander Paulin,Associate Teaching Professor,Mathematics,UC Berkeley
246,Christopher S. Lynch,Professor and Dean,Engineering,UC Riverside
247,Steven Sam,Professor,Math,UC San Diego
248,Gerbrand Ceder,Professor,Materials Science and Engineering,UC Berkeley
249,Clayton John Radke,Professor,chemical and biomolecular engineering,UC Berkeley
250,Jacob Bedrossian,Professor,Mathematics,UCLA
251,Grigory Tikhomirov,Assistant Professor,EECS,UC Berkeley
252,Sai Nair,Associate Professor,Ophthalmology,UC San Francisco
253,Dragos Oprea,Professor,Mathematics,UC San Diego
254,David Steigmann,Professor,Mechanical Engineering,UC Berkeley
255,Evan Williams,Professor,Chemistry,UC Berkeley
256,Jeffrey M. Rabin,Professor,Mathematics,UC San Diego
257,Michael Conboy,"Scientist, and retired Lecturer",Bioengineering,UC Berkeley
258,Ming Wu,Professor,Electrical Engineering and Computer Sciences,UC Berkeley
259,Marco Gonzalez-Navarro,Associate Professor,Agricultural and Resource Economics,UC Berkeley
260,Martin White,Professor,Physics,UC Berkeley
261,Michael Anderson,Professor,Agricultural and Resource Economics,UC Berkeley
262,Mei-Chu Chang,Professor,Math,UC Riverside
263,Matthew DeJong,Professor,Civil & Environmental Engineering,UC Berkeley
264,Michael Sailor,Professor,Chemistry,UC San Diego
265,Ann Karagozian,Distinguished Professor,Mechanical & Aerospace Engineering,UCLA
266,Daniel Rogalski,Professor,Mathematics,UC San Diego
267,Rajiv Ranjan Singh,Professor,Physics,UC Davis
268,David Zilberman,Distinguished Professor,Agricultural and Resource Economics,UC Berkeley
269,Thomas Bury,Assistant Professor,Mathematics,UC Riverside
270,Martin Weissman,Professor,Mathematics,UC Santa Cruz
271,Abby Dernburg,Professor,Molecular and Cell Biology,UC Berkeley
272,Darrell D.E. Long,DIstinguished Professor Emeritus,Engineering,UC Santa Cruz
273,Tarek Zohdi,Professor,Mechanical Engineering,UC Berkeley
274,Denise Rava,Assistant Teaching Professor,Mathematics,UC San Diego
275,Moriel Vandsburger,Professor,Bioengineering,UC Berkeley
276,Costas Spanos,Professor Emeritus,EECS,UC Berkeley
277,Debjani Roy,Lecturer,Chemistry,UC Berkeley
278,Steven Evans,Professor,Departments of Statistics and Mathematics,UC Berkeley
279,Steven M. Kahn,Professor,Physics and Astronomy,UC Berkeley
280,Negar Beheshti Pour,Lecturer,Chemical and Biomolecular Engineering,UC Berkeley
281,Jeffrey M Perloff,Distinguished Professor,Agricultural & Resource Economics,UC Berkeley
282,Scott Moura,Professor,Civil & Environmental Engineering,UC Berkeley
283,John Terning,Professor,Physics and Astronomy,UC Davis
284,Costas P. Grigoropoulos,Distinguished Professor,Mechanical Engineering,UC Berkeley
285,Chenming Hu,Professor Emeritus,EECS,UC Berkeley
286,Panos Papadopoulos,Professor,Mechanical Engineering,UC Berkeley
287,Franco Zunino,Assistant Professor,Civil and Environmental Engineering,UC Berkeley
288,Luca Spolaor,Professor,Mathematics,UC San Diego
289,Anant Sahai,Professor,EECS,UC Berkeley
290,Thomas Maimone,Professor,Chemistry,UC Berkeley
291,Yanran Li,Associate Professor,Aiiso Yufeng Li Family Department of Chemical and Nano Engineering,UC San Diego
292,Amit Roy-Chowdhury,Professor,Electrical and Computer Engineering,UC Riverside
293,Andrew Marks,Professor,Mathematics,UC Berkeley
294,Henrik V Scheller,Adjunct Professor,Plant and Microbial Biology,UC Berkeley
295,Richard Montgomery,professor (emeritus),Mathematics,UC Santa Cruz
296,Bryan Wong,Professor,Chemistry,UC Riverside
297,Chengyu Song,Associate Professor,Computer Science and Engineering,UC Riverside
298,Rajiv Gupta,Distinguished Professor,Computer Science,UC Riverside
299,Daniel Neumark,Professor,Chemistry,UC Berkeley
300,Marek Chrobak,Professor,Department of Computer Science and Engineering,UC Riverside
301,Bethany Goldblum,Associate Professor,Nuclear Engineering,UC Berkeley
302,Craig Schroeder,Associate Professor,Computer Science,UC Riverside
303,Zhiyun Qian,Professor,Computer Science and Engineering,UC Riverside
304,Juchen Guo,Professor and Chair,Materials Science and Engineering,UC Riverside
305,Andrea Tao,Professor,Chemical and Nano Engineering,UC San Diego
306,Don Collins,Professor,Chemical and Environmental Engineering,UC Riverside
307,Lijun Ding,Assistant Professor,Department of Mathematics,UC San Diego
308,Chen Li,Associate Professor,ME,UC Riverside
309,Michael R. Zachariah,Distinguished Professor,Chemical And Environmental Engineering,UC Riverside
310,Ben Mazin,Professor,Physics,UC Santa Barbara
311,Cormac Flanagan,Professor,Computer Science and Engineering,UC Santa Cruz
312,Jasmina Vujic,Professor,Nuclear Engineering,UC Berkeley
313,Markus Petters,Professor,Department of Chemical and Environmental Engineering,UC Riverside
314,Oleg Shpyrko,Professor,Physics,UC San Diego
315,Ryan Hibbs,Professor and Chair,Neurobiology,UC San Diego
316,Adam J Engler,Professor,Bioengineering,UC San Diego
317,Anne Myers Kelley,Professor Emerita,Chemistry and Biochemistry,UC Merced
318,Richard Wilson,Associate Professor,Mechanical Engineering,UC Riverside
319,Dipak Ghosal,Professor,Computer Science,UC Davis
320,Sandrine Dudoit,Professor,Statistics,UC Berkeley
321,Christopher Nitta,Associate Professor of Teaching,Computer Science,UC Davis
322,David Kelley,Professor,Chemistry and Biochemistry,UC Merced
323,Howard Salis,Professor,Chemical & Environmental Engineering,UC Riverside
324,Kam Arnold,Associate Professor,Astronomy & Astrophysics and Physics,UC San Diego
325,Andrew McCulloch,Distinguished Professor,Bioengineering,UC San Diego
326,Joel Hass,Distinguished Professor,Mathematics,UC Davis
327,Onuttom Narayan,Professor,Physics,UC Santa Cruz
328,Matthew Malkan,Professor,Physics and Astronomy,UCLA
329,John McGreevy,Professor,Physics,UC San Diego
330,Florin Rusu,Professor,Computer Science and Engineering,UC Merced
331,Michael Y Frenklach,Professor,Mechanical Engineering,UC Berkeley
332,Elisa Franco,Professor,Mechanical and Aerospace Engineering,UCLA
333,Hailing Jin,Distinguished Professor,Microbiology & Plant Pathology,UC Riverside
334,Sayeef Salahuddin,Professor,EECS,UC Berkeley
335,David Quarfoot,Associate Teaching Professor,Mathematics,UC San Diego
336,Milos Ercegovac,Distinguished Professor Emeritus,Computer Science,UCLA
337,Gert Cauwenberghs,Distinguished Professor,Bioengineering,UC San Diego
338,Lorenzo Mangolini,Professor,Mechanical Engineering,UC Riverside
339,Alex Groisman,Professor,Physics,UC San Diego
340,Jeff Hasty,Professor,Bioengineering,UC San Diego
341,Guanshui Xu,Professor,Department of Mechanical Engineering,UC Riverside
342,Jeremy Magruder,Professor,Agricultural and Resource Economics,UC Berkeley
343,Tom Gannon,Assistant Professor,Mathematics,UC Riverside
344,Raghu Meka,Professor,Computer Science,UCLA
345,Irene Chen,Professor,Chemical and Biomolecular Engineering,UCLA
346,Ethan L. Miller,Professor Emeritus,Computer Science & Engineering,UC Santa Cruz
347,Vasan Venugopalan,Professor & Department Chair,Chemical & Biomolecular Engineering,UC Irvine
348,N. Sukumar,Professor,Civil and Environmental Engineering,UC Davis
349,Matthew Lieberman,Professor,Psychology,UCLA
350,Ioan Bejenaru,Professor,Mathematics,UC San Diego
351,Alan Barbour,Distinguished Professor,Microbiology and Molecular Genetics,UC Irvine
352,Michael Kleeman,Professor,Civil and Environmental Engineering,UC Davis
353,Yvonne Chen,Professor,MIMG and Chemical & Biomolecular Engineering,UCLA
354,Hikaru Saijo,Associate Professor,Economics,UC Santa Cruz
355,Peter Nonacs,Professor,Ecology % Evolutionary Biology,UCLA
356,Ilan Benjamin,Professor,Chemistry and Biochemistry,UC Santa Cruz
357,Sinisa Coh,Associate Professor,Materials Science,UC Riverside
358,Edgar Knobloch,Professor,Physics,UC Berkeley
359,Ivo Welch,Professor,Anderson School of Management,UCLA
360,Tom Chou,Professor,Computational Medicine and Mathematics,UCLA
361,Ertugrul Cubukcu,Professor,NanoEngineering,UC San Diego
362,Gabriel Hugh Elkaim,Professor,Electrical and Computer Engineering,UC Santa Cruz
363,Steven Brint,Distinguished Professor,Sociology,UC Riverside
364,Frank Brown,Professor,"Chemistry & Biochemistry, Physics",UC Santa Barbara
365,Eli Yablonovitch,Professor in the Graduate School,Electrical Engineering & Computer Sciences,UC Berkeley
366,R. David Britt,Distinguished Professor and Winston Ko Chair in Science Leadership,Chemistry,UC Davis
367,Natalie Bau,Professor,Economics,UCLA
368,James E Enstrom,Retired Research Professor,School of Public Health,UCLA
369,Eric Saltzman,Professor,Earth System Science,UC Irvine
370,Naomi Eisenberger,Professor,Psychology,UCLA
371,Aaron A. Burke,Professor,Near Eastern Languages & Cultures,UCLA
372,Craig Enders,Professor,Psychology,UCLA
373,Jacob Rajfer,Emeritus Professor,Urology,UCLA
374,Xin Liu,Professor,Computer Science,UC Davis
375,Shaowei Chen,Professor,Chemistry and Biochemistry,UC Santa Cruz
376,Hongbo Zhao,Assistant Professor,Physics,UC San Diego
377,Donna Ames,Professor Emerita,Psychiatry,UCLA
378,Michael K. Stenstrom,Distinguished Professor,"Civil and Environmental Engr Dept, UCLA",UCLA
379,Bob Jacobsen,Professor,Physics,UC Berkeley
380,Yat Li,Professor,Chemistry and Biochemistry,UC Santa Cruz
381,Miguel Á. Carreira-Perpiñán,Professor,Computer Science and Engineering,UC Merced
382,Keith Holyoak,Distinguished Professor,Psychology,UCLA
383,Josh Deutsch,Professor Emeritus,Physics,UC Santa Cruz
384,Kristoffer Neville,Professor,Art History,UC Riverside
385,Elena Fuchs,Professor,Mathematics,UC Davis
386,Jacob Greenstein,Professor,Mathematics,UC Riverside
387,"Harry E. (Ted) Frech, III",Professor,Economics,UC Santa Barbara
388,Emiliano De Cristofaro,Professor,Computer Science and Engineering,UC Riverside
389,Nigel Goldenfeld,Chancellor's Distinguished Professor of Physics,Physics,UC San Diego
390,Geert Schmid-Schoenbein,Professor,Bioengineering,UC San Diego
391,Richard L Kravitz,Professor,Internal Medicine,UC Davis
392,Mikhail Belkin,professor,Halicioglu Data Science Institute,UC San Diego
393,Ania Jayich,Professor,Physics,UC Santa Barbara
394,Xiaoping P. Hu,Professor,Bioengineering,UC Riverside
395,Michael Todd,Distinguished Professor and Chair,Structural Engineering,UC San Diego
396,Ryan Baumbach,Acting Associate Professor,Physics,UC Santa Cruz
397,Benjamin D. Shaw,Professor,Mechanical and Aerospace Engineering,UC Davis
398,Petr Krysl,Professor,Structural Engineering,UC San Diego
399,Matthew C Mahutga,Professor,Sociology,UC Riverside
